time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-17T01:44:09.943Z,-2.6771,99.3039,10,5.9,mww,,23,3.451,0.93,us,us7000cfxq,2020-11-18T01:47:13.978Z,"223 km SSW of Padang, Indonesia",earthquake,7.5,1.7,0.05,39,reviewed,us,us
2020-11-17T01:19:35.785Z,-14.87,167.6277,10,4.8,mb,,64,0.705,0.9,us,us7000cfxk,2020-11-17T01:35:57.040Z,"62 km ENE of Port-Olry, Vanuatu",earthquake,7.2,1.9,0.087,41,reviewed,us,us
2020-11-17T00:37:11.187Z,54.3416,-159.6899,21.88,3.5,ml,,210,0.493,1.04,us,us7000cfx7,2020-11-18T00:35:52.437Z,"122 km SSE of Sand Point, Alaska",earthquake,4.5,11.5,0.077,22,reviewed,us,us
2020-11-17T00:30:28.870Z,37.6393318,-119.3976669,11.42,2.65,md,28,137,0.2528,0.15,nc,nc73483136,2020-11-17T17:18:12.798Z,"20km SE of Yosemite Valley, CA",earthquake,0.55,2.71,0.25,22,automatic,nc,nc
2020-11-16T23:55:27.760Z,18.9836,-65.4053,29,3.26,md,7,323,0.9512,0.33,pr,pr2020321015,2020-11-17T00:51:06.650Z,"75 km NNE of Luquillo, Puerto Rico",earthquake,2.93,23.9,0.04,4,reviewed,pr,pr
2020-11-16T22:45:26.276Z,-7.0281,155.7391,67.2,5.5,mww,,24,4.539,0.93,us,us7000cfwd,2020-11-17T22:48:53.462Z,"83 km SSE of Panguna, Papua New Guinea",earthquake,8.1,4.8,0.078,16,reviewed,us,us
2020-11-16T22:44:07.717Z,38.1088,-118.2234,6.4,2.9,ml,31,49.43,0.144,0.1441,nn,nn00784716,2020-11-17T02:28:10.105Z,"32 km SSW of Mina, Nevada",earthquake,,3.3,0.41,15,reviewed,nn,nn
2020-11-16T22:28:01.450Z,18.1595,-67.3908,9,3.01,md,18,224,0.2417,0.18,pr,pr2020321014,2020-11-16T23:16:39.521Z,"23 km WNW of Puerto Real, Puerto Rico",earthquake,0.56,0.62,0.11,15,reviewed,pr,pr
2020-11-16T22:27:04.416Z,-33.3826,17.9304,5,3.5,mb_lg,,264,2.622,0.43,us,us7000cfw3,2020-11-18T05:02:24.797Z,"41 km S of Saldanha, South Africa",earthquake,14.1,2,0.295,3,reviewed,us,us
2020-11-16T21:41:21.300Z,39.9721667,-111.3188333,19.8,2.87,ml,17,151,0.2536,0.13,uu,uu60024109,2020-11-16T23:38:04.014Z,"28 km SE of Mapleton, Utah",earthquake,0.87,1.11,0.079,13,reviewed,uu,uu
2020-11-16T21:41:14.430Z,40.0001667,-111.3065,15.94,2.61,ml,43,52,0.2452,0.2,uu,uu60418617,2020-11-16T23:19:13.040Z,"27 km ESE of Mapleton, Utah",earthquake,0.38,0.58,0.111,6,reviewed,uu,uu
2020-11-16T20:29:56.262Z,54.5255,-159.6967,25.02,3.7,ml,,204,0.312,0.39,us,us7000cfu3,2020-11-16T21:55:10.234Z,"103 km SSE of Sand Point, Alaska",earthquake,4.9,8.3,0.066,30,reviewed,us,us
2020-11-16T20:18:34.076Z,-28.4228,-71.0898,44.1,5,mb,,115,0.217,0.7,us,us7000cftt,2020-11-17T01:05:21.298Z,"36 km WNW of Vallenar, Chile",earthquake,4.6,3.2,0.039,207,reviewed,us,us
2020-11-16T20:14:24.894Z,21.6134,121.0226,10,4.6,mb,,111,1.199,0.88,us,us7000cftu,2020-11-16T21:38:37.040Z,"Taiwan region",earthquake,7.3,1.8,0.07,62,reviewed,us,us
2020-11-16T19:23:24.606Z,-3.0341,129.8255,31.88,4.3,mb,,106,2.422,0.87,us,us7000cfsw,2020-11-16T21:03:35.040Z,"106 km ENE of Amahai, Indonesia",earthquake,8.6,7.2,0.126,18,reviewed,us,us
2020-11-16T19:12:02.305Z,36.78211594,-97.81245422,0.330283314,2.98,ml,81,53.73876953,0.0789091289,0.7456690652,ok,ok2020wocz,2020-11-16T21:29:35.040Z,"7 km NNW of Jefferson, Oklahoma",earthquake,1.571622574,1.168406654,,61,automatic,ok,ok
2020-11-16T18:59:39.385Z,44.3347,-115.0213,10,2.7,ml,,58,0.888,0.73,us,us7000cfud,2020-11-16T21:15:11.056Z,"14 km NNW of Stanley, Idaho",earthquake,2,2,0.056,42,reviewed,us,us
2020-11-16T18:52:51.830Z,44.4568333,-115.2193333,8.36,2.58,ml,12,82,0.841,0.32,mb,mb80476304,2020-11-16T21:22:32.510Z,"34 km NW of Stanley, Idaho",earthquake,0.76,1.84,0.174,14,reviewed,mb,mb
2020-11-16T18:51:58.315Z,59.7405,-138.9056,0.8,3.6,ml,,,,0.62,ak,ak020er6j9gd,2020-11-16T20:29:59.040Z,"51 km ENE of Yakutat, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-11-16T18:37:48.196Z,21.6959,120.9516,17.78,4.7,mb,,82,1.122,1.16,us,us7000cfs3,2020-11-16T19:04:23.040Z,"40 km SSE of Hengchun, Taiwan",earthquake,7.3,4.8,0.065,72,reviewed,us,us
2020-11-16T17:18:16.546Z,59.7148,-138.932,6.6,4.2,ml,,,,0.82,ak,ak020er5qnyf,2020-11-16T19:38:54.270Z,"48 km ENE of Yakutat, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-11-16T17:02:23.857Z,44.1488,-115.0905,10,2.7,ml,,135,0.907,0.88,us,us7000cfqr,2020-11-16T17:54:00.040Z,"14 km WSW of Stanley, Idaho",earthquake,2.4,1.7,0.064,32,reviewed,us,us
2020-11-16T16:43:06.847Z,53.3161,-167.3776,35.85,4.1,mb,,159,0.333,0.42,us,us7000cfrd,2020-11-17T00:45:51.420Z,"83 km SW of Unalaska, Alaska",earthquake,4.8,9.1,0.109,23,reviewed,us,us
2020-11-16T16:41:20.721Z,-23.9089,-67.0683,229.54,4.5,mb,,143,1.395,0.66,us,us7000cfql,2020-11-16T17:09:09.040Z,"83 km WNW of San Antonio de los Cobres, Argentina",earthquake,11.6,10,0.222,8,reviewed,us,us
2020-11-16T15:08:13.140Z,27.6372,129.9391,10,5,mb,,82,1.684,0.8,us,us7000cfnl,2020-11-18T01:15:13.630Z,"92 km SSE of Naze, Japan",earthquake,5.9,1.9,0.051,124,reviewed,us,us
2020-11-16T14:22:46.783Z,-32.4386,-71.4912,67.98,4.2,mwr,,164,0.589,0.3,us,us7000cfna,2020-11-16T22:11:01.104Z,"24 km W of La Ligua, Chile",earthquake,6.3,9.1,,,reviewed,us,guc
2020-11-16T13:59:20.585Z,4.7095,-76.4865,62.89,4.8,mb,,95,1.753,0.79,us,us7000cfn8,2020-11-16T17:43:09.833Z,"18 km ENE of Sipí, Colombia",earthquake,7.1,8.6,0.088,42,reviewed,us,us
2020-11-16T13:52:23.067Z,38.1873,-117.7507,10.8,3.2,ml,33,57.96,0.04,0.1599,nn,nn00784615,2020-11-17T02:27:58.828Z,"38 km SE of Mina, Nevada",earthquake,,0.6,0.36,16,reviewed,nn,nn
2020-11-16T13:48:25.995Z,0.3757,126.3594,41.72,4.6,mb,,75,1.081,0.55,us,us7000cfn7,2020-11-16T14:44:23.040Z,"122 km WSW of Ternate, Indonesia",earthquake,7.7,7.6,0.112,24,reviewed,us,us
2020-11-16T13:42:16.901Z,-10.9304,164.423,10,5.1,mb,,85,4.648,0.61,us,us7000cfn9,2020-11-16T14:33:58.040Z,"151 km W of Lata, Solomon Islands",earthquake,10.2,1.8,0.058,97,reviewed,us,us
2020-11-16T13:31:56.670Z,19.2211666107178,-155.394332885742,3.74000000953674,2.97,ml,23,192,,0.289999992,hv,hv72231772,2020-11-16T21:34:23.358Z,"9 km ENE of Pāhala, Hawaii",earthquake,1.68,2.04999995,2.45,13,automatic,hv,hv
